,start,end,delta
0,1627639033566.042,1627639033778.0,211.9580078125
1,1627639033603.93,1627639033790.0,186.070068359375
2,1627639033633.8499,1627639033775.0,141.150146484375
3,1627639033663.7708,1627639033794.0,130.229248046875
4,1627639033694.6868,1627639033837.0,142.313232421875
5,1627639033728.597,1627639033884.0,155.403076171875
6,1627639033757.5188,1627639033852.0,94.481201171875
7,1627639033789.434,1627639033890.0,100.56591796875
8,1627639033820.3506,1627639033929.0,108.6494140625
9,1627639033849.2747,1627639034099.0,249.725341796875
10,1627639033881.189,1627639033950.0,68.81103515625
11,1627639033913.1025,1627639033981.0,67.8974609375
12,1627639033941.029,1627639034133.0,191.970947265625
13,1627639033971.9458,1627639034281.0,309.05419921875
14,1627639033987.9026,1627639034147.0,159.097412109375
15,1627639034028.9792,1627639034185.0,156.020751953125
16,1627639034074.747,1627639034319.0,244.2529296875
17,1627639034098.633,1627639034352.0,253.366943359375
18,1627639034130.548,1627639034221.0,90.451904296875
19,1627639034160.467,1627639034246.0,85.532958984375
20,1627639034178.4194,1627639034388.0,209.58056640625
21,1627639034206.699,1627639034446.0,239.301025390625
22,1627639034221.6577,1627639034280.0,58.34228515625
23,1627639034253.8408,1627639034321.0,67.1591796875
24,1627639034287.7239,1627639034458.0,170.276123046875
25,1627639034316.6477,1627639034490.0,173.352294921875
26,1627639034343.577,1627639034515.0,171.423095703125
27,1627639034374.4934,1627639034557.0,182.506591796875
28,1627639034393.4414,1627639034529.0,135.55859375
29,1627639034420.3718,1627639034565.0,144.628173828125
30,1627639034453.2808,1627639034595.0,141.71923828125
31,1627639034484.1995,1627639034636.0,151.800537109375
32,1627639034514.1191,1627639034605.0,90.880859375
33,1627639034543.8035,1627639034642.0,98.196533203125
34,1627639034573.723,1627639034669.0,95.277099609375
35,1627639034609.626,1627639034706.0,96.3740234375
36,1627639034638.548,1627639034691.0,52.451904296875
37,1627639034668.468,1627639034727.0,58.531982421875
38,1627639034700.3823,1627639034986.0,285.61767578125
39,1627639034728.3076,1627639034793.0,64.6923828125
40,1627639034763.2156,1627639034821.0,57.784423828125
41,1627639034794.1323,1627639034864.0,69.86767578125
42,1627639034827.0447,1627639034888.0,60.955322265625
43,1627639034855.9668,1627639034928.0,72.033203125
44,1627639034888.8806,1627639035071.0,182.119384765625
45,1627639034917.8025,1627639035105.0,187.197509765625
46,1627639034947.7202,1627639035010.0,62.27978515625
47,1627639034978.638,1627639035053.0,74.362060546875
48,1627639035013.5461,1627639035140.0,126.453857421875
49,1627639035039.4753,1627639035296.0,256.524658203125
50,1627639035070.3936,1627639035341.0,270.6064453125
51,1627639035102.308,1627639035277.0,174.69189453125
52,1627639035134.2217,1627639035351.0,216.7783203125
53,1627639035162.1472,1627639035394.0,231.852783203125
54,1627639035178.1042,1627639035321.0,142.895751953125
55,1627639035208.0237,1627639035375.0,166.976318359375
56,1627639035223.9814,1627639035457.0,233.0185546875
57,1627639035255.8962,1627639035461.0,205.103759765625
58,1627639035289.8074,1627639035520.0,230.192626953125
59,1627639035317.7314,1627639035566.0,248.2685546875
60,1627639035358.6226,1627639035495.0,136.37744140625
61,1627639035393.5283,1627639035556.0,162.4716796875
62,1627639035425.4436,1627639035610.0,184.556396484375
63,1627639035457.359,1627639035638.0,180.64111328125
64,1627639035488.276,1627639035680.0,191.72412109375
65,1627639035520.1904,1627639035723.0,202.8095703125
66,1627639035552.1052,1627639035681.0,128.894775390625
67,1627639035584.0188,1627639035719.0,134.981201171875
68,1627639035610.947,1627639035864.0,253.052978515625
69,1627639035645.8533,1627639035895.0,249.146728515625
70,1627639035675.7737,1627639035756.0,80.226318359375
71,1627639035702.7014,1627639035794.0,91.298583984375
72,1627639035735.613,1627639035929.0,193.386962890625
73,1627639035763.5393,1627639036071.0,307.460693359375
74,1627639035779.4956,1627639035834.0,54.50439453125
75,1627639035811.411,1627639035877.0,65.589111328125
76,1627639035842.328,1627639036112.0,269.672119140625
77,1627639035873.2449,1627639036150.0,276.755126953125
78,1627639035905.1606,1627639036078.0,172.83935546875
79,1627639035934.083,1627639036116.0,181.9169921875
80,1627639035963.0059,1627639036189.0,225.994140625
81,1627639035978.963,1627639036226.0,247.037109375
82,1627639035993.9253,1627639036150.0,156.07470703125
83,1627639036008.8833,1627639036190.0,181.11669921875
84,1627639036024.8394,1627639036258.0,233.16064453125
85,1627639036039.7998,1627639036394.0,354.2001953125
86,1627639036070.718,1627639036234.0,163.281982421875
87,1627639036099.6409,1627639036374.0,274.359130859375
88,1627639036129.5593,1627639036544.0,414.440673828125
89,1627639036150.5063,1627639036592.0,441.49365234375
90,1627639036178.4297,1627639036413.0,234.5703125
91,1627639036207.352,1627639036445.0,237.64794921875
92,1627639036239.266,1627639036621.0,381.73388671875
93,1627639036267.192,1627639036658.0,390.80810546875
94,1627639036282.1516,1627639036478.0,195.848388671875
95,1627639036298.1096,1627639036507.0,208.890380859375
96,1627639036312.0715,1627639036693.0,380.928466796875
97,1627639036328.0288,1627639036732.0,403.97119140625
98,1627639036344.0195,1627639036548.0,203.98046875
99,1627639036360.9453,1627639036583.0,222.0546875
100,1627639036392.8572,1627639036868.0,475.142822265625
101,1627639036421.7793,1627639036910.0,488.220703125
102,1627639036452.6958,1627639036623.0,170.30419921875
103,1627639036483.6138,1627639036667.0,183.38623046875
104,1627639036514.5305,1627639036954.0,439.469482421875
105,1627639036546.4475,1627639036999.0,452.552490234375
106,1627639036578.36,1627639036706.0,127.639892578125
107,1627639036607.2825,1627639036740.0,132.717529296875
108,1627639036639.197,1627639037034.0,394.802978515625
109,1627639036672.109,1627639037069.0,396.89111328125
110,1627639036703.0269,1627639036911.0,207.97314453125
111,1627639036731.9492,1627639036928.0,196.05078125
112,1627639036759.8745,1627639037104.0,344.12548828125
113,1627639036775.8306,1627639037131.0,355.16943359375
114,1627639036790.7898,1627639036976.0,185.210205078125
115,1627639036806.7485,1627639037015.0,208.25146484375
116,1627639036822.7063,1627639037276.0,453.293701171875
117,1627639036837.6658,1627639037307.0,469.334228515625
118,1627639036853.6238,1627639037149.0,295.376220703125
119,1627639036886.5356,1627639037179.0,292.46435546875
120,1627639036920.445,1627639037343.0,422.554931640625
121,1627639036946.3752,1627639037380.0,433.624755859375
122,1627639036981.282,1627639037214.0,232.718017578125
123,1627639037011.2017,1627639037248.0,236.79833984375
124,1627639037043.1167,1627639037416.0,372.88330078125
125,1627639037072.0393,1627639037448.0,375.960693359375
126,1627639037101.9597,1627639037284.0,182.040283203125
127,1627639037131.8806,1627639037319.0,187.119384765625
128,1627639037164.7917,1627639037478.0,313.208251953125
129,1627639037192.7168,1627639037506.0,313.283203125
130,1627639037207.676,1627639037359.0,151.323974609375
131,1627639037223.6333,1627639037394.0,170.36669921875
132,1627639037239.592,1627639037538.0,298.407958984375
133,1627639037269.5107,1627639037578.0,308.4892578125
134,1627639037302.424,1627639037427.0,124.575927734375
135,1627639037331.346,1627639037564.0,232.654052734375
136,1627639037351.293,1627639037610.0,258.70703125
137,1627639037381.213,1627639037637.0,255.787109375
138,1627639037410.1345,1627639037606.0,195.865478515625
139,1627639037442.05,1627639037748.0,305.949951171875
140,1627639037458.0068,1627639037666.0,207.9931640625
141,1627639037471.9695,1627639037699.0,227.030517578125
142,1627639037487.9268,1627639037888.0,400.0732421875
143,1627639037505.8787,1627639037918.0,412.121337890625
144,1627639037536.7964,1627639037731.0,194.20361328125
145,1627639037570.7058,1627639037763.0,192.294189453125
146,1627639037597.6372,1627639037969.0,371.36279296875
147,1627639037626.556,1627639038101.0,474.444091796875
148,1627639037643.5107,1627639037792.0,148.4892578125
149,1627639037672.4333,1627639037822.0,149.566650390625
150,1627639037687.393,1627639038134.0,446.60693359375
151,1627639037704.3477,1627639038170.0,465.65234375
152,1627639037735.2651,1627639037853.0,117.73486328125
153,1627639037766.1829,1627639037888.0,121.817138671875
154,1627639037797.1018,1627639038204.0,406.898193359375
155,1627639037827.0205,1627639038239.0,411.9794921875
156,1627639037858.9353,1627639037925.0,66.064697265625
157,1627639037889.8516,1627639037962.0,72.1484375
158,1627639037922.7678,1627639038273.0,350.232177734375
159,1627639037948.6946,1627639038305.0,356.305419921875
160,1627639037979.6118,1627639038025.0,45.38818359375
161,1627639037995.5693,1627639038053.0,57.4306640625
162,1627639038010.5293,1627639038340.0,329.470703125
163,1627639038028.4827,1627639038369.0,340.517333984375
164,1627639038057.4048,1627639038104.0,46.59521484375
165,1627639038073.3608,1627639038137.0,63.63916015625
166,1627639038106.274,1627639038406.0,299.72607421875
167,1627639038133.2007,1627639038442.0,308.79931640625
168,1627639038148.1924,1627639038200.0,51.8076171875
169,1627639038168.1077,1627639038236.0,67.892333984375
170,1627639038197.031,1627639038476.0,278.968994140625
171,1627639038225.953,1627639038660.0,434.047119140625
172,1627639038244.9023,1627639038299.0,54.09765625
173,1627639038273.825,1627639038353.0,79.175048828125
174,1627639038305.7393,1627639038955.0,649.2607421875
175,1627639038332.6672,1627639038746.0,413.332763671875
176,1627639038366.577,1627639038419.0,52.423095703125
177,1627639038395.499,1627639038453.0,57.5009765625
178,1627639038426.4167,1627639038791.0,364.583251953125
179,1627639038457.3345,1627639038836.0,378.66552734375
180,1627639038473.2913,1627639038669.0,195.708740234375
181,1627639038510.451,1627639038703.0,192.549072265625
182,1627639038540.6685,1627639038894.0,353.33154296875
183,1627639038572.3916,1627639038929.0,356.6083984375
184,1627639038609.2932,1627639038762.0,152.706787109375
185,1627639038647.1855,1627639038806.0,158.814453125
186,1627639038677.1067,1627639038967.0,289.893310546875
187,1627639038713.0083,1627639038999.0,285.99169921875
188,1627639038740.9348,1627639038853.0,112.065185546875
189,1627639038771.8518,1627639038897.0,125.148193359375
190,1627639038802.7695,1627639039032.0,229.23046875
191,1627639038831.692,1627639039253.0,421.30810546875
192,1627639038862.6086,1627639039046.0,183.391357421875
193,1627639038892.5295,1627639039074.0,181.470458984375
194,1627639038922.448,1627639039227.0,304.552001953125
195,1627639038952.3674,1627639039267.0,314.632568359375
196,1627639038983.2854,1627639039219.0,235.714599609375
197,1627639039013.2068,1627639039258.0,244.793212890625
198,1627639039032.1545,1627639039294.0,261.845458984375
199,1627639039060.0803,1627639039329.0,268.919677734375
200,1627639039079.0308,1627639039298.0,218.96923828125
201,1627639039115.929,1627639039328.0,212.071044921875
202,1627639039146.8557,1627639039469.0,322.144287109375
203,1627639039172.7964,1627639039506.0,333.20361328125
204,1627639039189.693,1627639039358.0,168.306884765625
205,1627639039220.611,1627639039386.0,165.388916015625
206,1627639039250.531,1627639039546.0,295.468994140625
207,1627639039279.4543,1627639039586.0,306.545654296875
208,1627639039300.3984,1627639039417.0,116.6015625
209,1627639039330.319,1627639039455.0,124.680908203125
210,1627639039360.2698,1627639039615.0,254.730224609375
211,1627639039390.1992,1627639039651.0,260.80078125
212,1627639039404.154,1627639039487.0,82.845947265625
213,1627639039421.0764,1627639039526.0,104.923583984375
214,1627639039453.9888,1627639039692.0,238.01123046875
215,1627639039481.9128,1627639039726.0,244.087158203125
216,1627639039515.8213,1627639039572.0,56.1787109375
217,1627639039544.7444,1627639039640.0,95.255615234375
218,1627639039578.655,1627639039767.0,188.344970703125
219,1627639039604.5833,1627639039799.0,194.416748046875
220,1627639039621.5396,1627639039677.0,55.46044921875
221,1627639039654.4512,1627639039717.0,62.548828125
222,1627639039683.3733,1627639039830.0,146.626708984375
223,1627639039713.294,1627639040013.0,299.7060546875
224,1627639039743.2126,1627639039795.0,51.787353515625
225,1627639039762.1628,1627639039829.0,66.837158203125
226,1627639039791.0862,1627639040046.0,254.913818359375
227,1627639039822.0015,1627639040078.0,255.99853515625
228,1627639039855.0615,1627639039911.0,55.9384765625
229,1627639039882.9893,1627639040051.0,168.0107421875
230,1627639039898.1724,1627639040108.0,209.82763671875
231,1627639039915.1257,1627639040136.0,220.874267578125
232,1627639039953.5671,1627639040084.0,130.432861328125
233,1627639039994.4573,1627639040219.0,224.542724609375
234,1627639040021.3833,1627639040171.0,149.61669921875
235,1627639040055.293,1627639040202.0,146.70703125
236,1627639040085.2144,1627639040253.0,167.78564453125
237,1627639040114.136,1627639040291.0,176.864013671875
238,1627639040143.0586,1627639040230.0,86.94140625
239,1627639040160.0142,1627639040264.0,103.98583984375
240,1627639040189.933,1627639040319.0,129.06689453125
241,1627639040222.8447,1627639040350.0,127.1552734375
242,1627639040252.7646,1627639040301.0,48.2353515625
243,1627639040283.6826,1627639040334.0,50.3173828125
244,1627639040316.5942,1627639040389.0,72.40576171875
245,1627639040345.5166,1627639040423.0,77.4833984375
246,1627639040360.5088,1627639040414.0,53.4912109375
247,1627639040379.4265,1627639040567.0,187.573486328125
248,1627639040410.3452,1627639040457.0,46.65478515625
249,1627639040440.2954,1627639040593.0,152.70458984375
250,1627639040458.2158,1627639040703.0,244.7841796875
251,1627639040496.9368,1627639040843.0,346.063232421875
252,1627639040538.823,1627639040737.0,198.177001953125
253,1627639040566.7449,1627639040769.0,202.255126953125
254,1627639040598.6606,1627639040877.0,278.33935546875
255,1627639040634.6912,1627639040912.0,277.308837890625
256,1627639040659.3547,1627639040799.0,139.645263671875
257,1627639040674.539,1627639040829.0,154.4609375
258,1627639040689.4622,1627639040946.0,256.537841796875
259,1627639040707.4155,1627639041311.0,603.58447265625
260,1627639040737.3362,1627639040864.0,126.663818359375
261,1627639040768.2515,1627639040897.0,128.74853515625
262,1627639040798.383,1627639041139.0,340.616943359375
263,1627639040814.3396,1627639041182.0,367.660400390625
264,1627639040831.296,1627639040932.0,100.7041015625
265,1627639040861.215,1627639040964.0,102.784912109375
266,1627639040893.1301,1627639041225.0,331.869873046875
267,1627639040922.0522,1627639041270.0,347.94775390625
268,1627639040951.972,1627639040999.0,47.028076171875
269,1627639040981.6538,1627639041026.0,44.34619140625
270,1627639040998.0225,1627639041309.0,310.9775390625
271,1627639041029.9478,1627639041338.0,308.05224609375
272,1627639041043.2224,1627639041094.0,50.777587890625
273,1627639041061.3394,1627639041139.0,77.66064453125
274,1627639041095.2498,1627639041373.0,277.750244140625
275,1627639041123.1746,1627639041394.0,270.825439453125
276,1627639041154.0918,1627639041234.0,79.908203125
277,1627639041187.0042,1627639041262.0,74.995849609375
278,1627639041217.9207,1627639041586.0,368.079345703125
279,1627639041248.8376,1627639041622.0,373.162353515625
280,1627639041276.7634,1627639041328.0,51.236572265625
281,1627639041310.6736,1627639041360.0,49.326416015625
282,1627639041341.5908,1627639041660.0,318.4091796875
283,1627639041370.5132,1627639041707.0,336.48681640625
284,1627639041401.4307,1627639041594.0,192.5693359375
285,1627639041417.4226,1627639041848.0,430.577392578125
286,1627639041430.6296,1627639041743.0,312.370361328125
287,1627639041446.403,1627639041843.0,396.596923828125
288,1627639041471.442,1627639041669.0,197.55810546875
289,1627639041502.3591,1627639041719.0,216.640869140625
290,1627639041549.1995,1627639041958.0,408.800537109375
291,1627639041590.081,1627639041990.0,399.9189453125
292,1627639041618.0063,1627639041750.0,131.99365234375
293,1627639041648.9246,1627639041791.0,142.075439453125
294,1627639041679.84,1627639042023.0,343.159912109375
295,1627639041708.7642,1627639042059.0,350.23583984375
296,1627639041739.6807,1627639041834.0,94.3193359375
297,1627639041770.5972,1627639041859.0,88.40283203125
298,1627639041799.52,1627639042089.0,289.47998046875
299,1627639041831.4346,1627639042121.0,289.5654296875
300,1627639041859.36,1627639042011.0,151.639892578125
301,1627639041875.3164,1627639042049.0,173.68359375
302,1627639041897.4382,1627639042158.0,260.561767578125
303,1627639041930.3506,1627639042186.0,255.6494140625
304,1627639041955.2832,1627639042078.0,122.716796875
305,1627639041983.2092,1627639042109.0,125.790771484375
306,1627639041999.1646,1627639042218.0,218.83544921875
307,1627639042017.1182,1627639042251.0,233.8818359375
308,1627639042047.0374,1627639042145.0,97.962646484375
309,1627639042076.9578,1627639042181.0,104.042236328125
310,1627639042106.8787,1627639042280.0,173.121337890625
311,1627639042135.7996,1627639042310.0,174.200439453125
312,1627639042153.752,1627639042210.0,56.248046875
313,1627639042185.6663,1627639042240.0,54.333740234375
314,1627639042217.5808,1627639042345.0,127.419189453125
315,1627639042249.4954,1627639042375.0,125.504638671875
316,1627639042276.423,1627639042328.0,51.576904296875
317,1627639042308.3386,1627639042357.0,48.661376953125
318,1627639042339.2883,1627639042409.0,69.711669921875
319,1627639042355.2134,1627639042439.0,83.78662109375
320,1627639042385.1338,1627639042431.0,45.8662109375
321,1627639042402.0876,1627639042463.0,60.912353515625
322,1627639042435.0002,1627639042481.0,45.999755859375
323,1627639042464.92,1627639042514.0,49.080078125
324,1627639042497.8313,1627639042545.0,47.168701171875
325,1627639042526.7534,1627639042571.0,44.24658203125
326,1627639042544.7058,1627639042709.0,164.294189453125
327,1627639042572.6306,1627639042741.0,168.369384765625
328,1627639042597.7002,1627639042698.0,100.2998046875
329,1627639042629.6147,1627639042730.0,100.38525390625
330,1627639042671.4722,1627639042775.0,103.52783203125
331,1627639042701.3801,1627639042806.0,104.619873046875
332,1627639042729.3374,1627639042778.0,48.66259765625
333,1627639042749.2512,1627639042814.0,64.748779296875
334,1627639042779.1714,1627639043044.0,264.82861328125
335,1627639042808.094,1627639042870.0,61.906005859375
336,1627639042823.086,1627639042978.0,154.9140625
337,1627639042842.0032,1627639043128.0,285.996826171875
338,1627639042867.968,1627639042913.0,45.031982421875
339,1627639042899.8486,1627639042950.0,50.1513671875
340,1627639042931.7637,1627639043160.0,228.236328125
341,1627639042961.6829,1627639043198.0,236.317138671875
342,1627639042992.6018,1627639043038.0,45.398193359375
343,1627639043008.5576,1627639043074.0,65.4423828125
344,1627639043039.4756,1627639043221.0,181.5244140625
345,1627639043067.435,1627639043270.0,202.56494140625
346,1627639043088.6465,1627639043144.0,55.353515625
347,1627639043114.5747,1627639043179.0,64.42529296875
348,1627639043147.4558,1627639043329.0,181.544189453125
349,1627639043173.3848,1627639043318.0,144.615234375
350,1627639043191.3372,1627639043244.0,52.662841796875
351,1627639043223.252,1627639043269.0,45.748046875
352,1627639043252.1753,1627639043351.0,98.82470703125
353,1627639043283.0903,1627639043528.0,244.90966796875
354,1627639043298.0737,1627639043348.0,49.92626953125
355,1627639043316.0037,1627639043380.0,63.996337890625
356,1627639043345.955,1627639043557.0,211.044921875
357,1627639043372.8838,1627639043592.0,219.1162109375
358,1627639043388.8086,1627639043432.0,43.19140625
359,1627639043405.7637,1627639043579.0,173.236328125
360,1627639043419.7605,1627639043619.0,199.239501953125
361,1627639043436.7188,1627639043649.0,212.28125
362,1627639043450.2156,1627639043717.0,266.784423828125
363,1627639043474.8088,1627639043752.0,277.191162109375
364,1627639043506.713,1627639043684.0,177.287109375
365,1627639043531.6086,1627639043718.0,186.391357421875
366,1627639043546.6135,1627639043781.0,234.386474609375
367,1627639043564.5188,1627639043812.0,247.481201171875
368,1627639043594.4392,1627639043856.0,261.560791015625
369,1627639043625.3875,1627639043893.0,267.612548828125
370,1627639043654.278,1627639043849.0,194.721923828125
371,1627639043670.2373,1627639043885.0,214.7626953125
372,1627639043687.19,1627639043936.0,248.81005859375
373,1627639043720.1052,1627639043970.0,249.894775390625
374,1627639043749.024,1627639043922.0,172.97607421875
375,1627639043779.9446,1627639043972.0,192.055419921875
376,1627639043808.8662,1627639044005.0,196.1337890625
377,1627639043841.7761,1627639044034.0,192.223876953125
378,1627639043871.6968,1627639043998.0,126.30322265625
379,1627639043901.6165,1627639044145.0,243.383544921875
380,1627639043934.5286,1627639044063.0,128.471435546875
381,1627639043966.443,1627639044091.0,124.556884765625
382,1627639043993.3713,1627639044179.0,185.628662109375
383,1627639044024.289,1627639044217.0,192.7109375
384,1627639044041.243,1627639044123.0,81.757080078125
385,1627639044072.1616,1627639044157.0,84.83837890625
386,1627639044100.0845,1627639044245.0,144.91552734375
387,1627639044117.0818,1627639044272.0,154.918212890625
388,1627639044149.9941,1627639044199.0,49.005859375
389,1627639044178.9175,1627639044231.0,52.08251953125
390,1627639044210.8318,1627639044303.0,92.168212890625
391,1627639044241.7483,1627639044333.0,91.251708984375
392,1627639044272.6665,1627639044426.0,153.33349609375
393,1627639044303.5837,1627639044465.0,161.416259765625
394,1627639044318.5781,1627639044366.0,47.421875
395,1627639044337.4924,1627639044398.0,60.507568359375
396,1627639044366.417,1627639044498.0,131.5830078125
397,1627639044396.335,1627639044531.0,134.6650390625
398,1627639044412.2935,1627639044468.0,55.70654296875
399,1627639044433.2368,1627639044504.0,70.76318359375
400,1627639044460.1658,1627639044671.0,210.834228515625
401,1627639044489.0874,1627639044711.0,221.91259765625
402,1627639044505.0447,1627639044582.0,76.955322265625
403,1627639044535.9617,1627639044582.0,46.038330078125
404,1627639044551.9202,1627639044857.0,305.079833984375
405,1627639044581.8394,1627639044892.0,310.16064453125
406,1627639044610.7625,1627639044684.0,73.237548828125
407,1627639044629.712,1627639044700.0,70.2880859375
408,1627639044657.6367,1627639044925.0,267.36328125
409,1627639044677.5845,1627639044963.0,285.41552734375
410,1627639044706.506,1627639044760.0,53.493896484375
411,1627639044735.429,1627639044785.0,49.571044921875
412,1627639044750.3882,1627639045169.0,418.61181640625
413,1627639044766.3562,1627639045209.0,442.643798828125
414,1627639044780.309,1627639044827.0,46.69091796875
415,1627639044797.2632,1627639044862.0,64.73681640625
416,1627639044811.2253,1627639045351.0,539.774658203125
417,1627639044830.1748,1627639045385.0,554.8251953125
418,1627639044860.0947,1627639044907.0,46.9052734375
